episode,reward,icu_util,ot_util,waiting_time
0,0.5,2.0,1.6,6.4
1,2,4.0,3.2,2.8000002
2,0.5,5.0,4.0,1.0
3,2,1.0,0.8,8.2
4,2,2.0,1.6,6.4
5,2,4.0,3.2,2.8000002
6,0.5,5.0,4.0,1.0
7,2,4.0,3.2,2.8000002
8,2,1.0,0.8,8.2
9,2,4.0,3.2,2.8000002
10,2,4.0,3.2,2.8000002
11,2,4.0,3.2,2.8000002
12,0.5,5.0,4.0,1.0
13,2,1.0,0.8,8.2
14,2,2.0,1.6,6.4
15,2,4.0,3.2,2.8000002
16,0.5,5.0,4.0,1.0
17,0.5,2.0,1.6,6.4
18,2,1.0,0.8,8.2
19,2,4.0,3.2,2.8000002
20,2,4.0,3.2,2.8000002
21,2,4.0,3.2,2.8000002
22,0.5,5.0,4.0,1.0
23,2,1.0,0.8,8.2
24,2,2.0,1.6,6.4
25,2,4.0,3.2,2.8000002
26,0.5,5.0,4.0,1.0
27,2,4.0,3.2,2.8000002
28,2,1.0,0.8,8.2
29,0.5,2.0,1.6,6.4
30,2,4.0,3.2,2.8000002
31,2,4.0,3.2,2.8000002
32,0.5,5.0,4.0,1.0
33,2,1.0,0.8,8.2
34,2,2.0,1.6,6.4
35,2,4.0,3.2,2.8000002
36,0.5,5.0,4.0,1.0
37,2,4.0,3.2,2.8000002
38,2,1.0,0.8,8.2
39,2,4.0,3.2,2.8000002
40,2,4.0,3.2,2.8000002
41,2,4.0,3.2,2.8000002
42,0.5,5.0,4.0,1.0
43,2,1.0,0.8,8.2
44,2,2.0,1.6,6.4
45,2,4.0,3.2,2.8000002
46,0.5,5.0,4.0,1.0
47,2,4.0,3.2,2.8000002
48,2,1.0,0.8,8.2
49,2,4.0,3.2,2.8000002
50,2,4.0,3.2,2.8000002
51,2,4.0,3.2,2.8000002
52,0.5,5.0,4.0,1.0
53,2,1.0,0.8,8.2
54,2,2.0,1.6,6.4
55,2,4.0,3.2,2.8000002
56,0.5,5.0,4.0,1.0
57,2,4.0,3.2,2.8000002
58,2,1.0,0.8,8.2
59,2,4.0,3.2,2.8000002
60,2,4.0,3.2,2.8000002
61,2,4.0,3.2,2.8000002
62,0.5,5.0,4.0,1.0
63,2,1.0,0.8,8.2
64,0.5,0.0,0.0,10.0
65,2,4.0,3.2,2.8000002
66,0.5,5.0,4.0,1.0
67,2,4.0,3.2,2.8000002
68,2,1.0,0.8,8.2
69,2,4.0,3.2,2.8000002
70,2,4.0,3.2,2.8000002
71,2,4.0,3.2,2.8000002
72,0.5,5.0,4.0,1.0
73,2,1.0,0.8,8.2
74,2,2.0,1.6,6.4
75,2,4.0,3.2,2.8000002
76,0.5,5.0,4.0,1.0
77,2,4.0,3.2,2.8000002
78,2,1.0,0.8,8.2
79,2,4.0,3.2,2.8000002
80,2,4.0,3.2,2.8000002
81,2,4.0,3.2,2.8000002
82,0.5,5.0,4.0,1.0
83,2,1.0,0.8,8.2
84,2,2.0,1.6,6.4
85,2,4.0,3.2,2.8000002
86,0.5,5.0,4.0,1.0
87,2,4.0,3.2,2.8000002
88,2,1.0,0.8,8.2
89,2,4.0,3.2,2.8000002
90,2,4.0,3.2,2.8000002
91,2,4.0,3.2,2.8000002
92,0.5,5.0,4.0,1.0
93,2,1.0,0.8,8.2
94,2,2.0,1.6,6.4
95,2,4.0,3.2,2.8000002
96,0.5,5.0,4.0,1.0
97,2,4.0,3.2,2.8000002
98,2,1.0,0.8,8.2
99,2,4.0,3.2,2.8000002
100,2,4.0,3.2,2.8000002
101,2,4.0,3.2,2.8000002
102,0.5,5.0,4.0,1.0
103,2,1.0,0.8,8.2
104,2,2.0,1.6,6.4
105,2,4.0,3.2,2.8000002
106,0.5,5.0,4.0,1.0
107,2,4.0,3.2,2.8000002
108,0.5,0.0,0.0,10.0
109,2,4.0,3.2,2.8000002
110,2,4.0,3.2,2.8000002
111,2,4.0,3.2,2.8000002
112,0.5,5.0,4.0,1.0
113,2,1.0,0.8,8.2
114,2,2.0,1.6,6.4
115,2,4.0,3.2,2.8000002
116,0.5,5.0,4.0,1.0
117,2,4.0,3.2,2.8000002
118,2,1.0,0.8,8.2
119,2,4.0,3.2,2.8000002
120,2,4.0,3.2,2.8000002
121,2,4.0,3.2,2.8000002
122,0.5,5.0,4.0,1.0
123,2,1.0,0.8,8.2
124,2,2.0,1.6,6.4
125,2,4.0,3.2,2.8000002
126,0.5,5.0,4.0,1.0
127,2,4.0,3.2,2.8000002
128,0.5,0.0,0.0,10.0
129,2,4.0,3.2,2.8000002
130,2,4.0,3.2,2.8000002
131,2,4.0,3.2,2.8000002
132,0.5,5.0,4.0,1.0
133,2,1.0,0.8,8.2
134,2,2.0,1.6,6.4
135,2,4.0,3.2,2.8000002
136,0.5,5.0,4.0,1.0
137,2,4.0,3.2,2.8000002
138,2,1.0,0.8,8.2
139,2,4.0,3.2,2.8000002
140,2,4.0,3.2,2.8000002
141,2,4.0,3.2,2.8000002
142,0.5,5.0,4.0,1.0
143,2,1.0,0.8,8.2
144,2,2.0,1.6,6.4
145,2,4.0,3.2,2.8000002
146,0.5,5.0,4.0,1.0
147,2,4.0,3.2,2.8000002
148,2,1.0,0.8,8.2
149,2,4.0,3.2,2.8000002
150,2,4.0,3.2,2.8000002
151,2,4.0,3.2,2.8000002
152,0.5,5.0,4.0,1.0
153,2,1.0,0.8,8.2
154,2,2.0,1.6,6.4
155,2,4.0,3.2,2.8000002
156,0.5,5.0,4.0,1.0
157,2,4.0,3.2,2.8000002
158,2,1.0,0.8,8.2
159,2,4.0,3.2,2.8000002
160,2,4.0,3.2,2.8000002
161,2,4.0,3.2,2.8000002
162,0.5,5.0,4.0,1.0
163,2,1.0,0.8,8.2
164,2,2.0,1.6,6.4
165,2,4.0,3.2,2.8000002
166,0.5,5.0,4.0,1.0
167,2,4.0,3.2,2.8000002
168,2,1.0,0.8,8.2
169,2,4.0,3.2,2.8000002
170,2,4.0,3.2,2.8000002
171,2,4.0,3.2,2.8000002
172,0.5,5.0,4.0,1.0
173,2,1.0,0.8,8.2
174,2,2.0,1.6,6.4
175,2,4.0,3.2,2.8000002
176,0.5,5.0,4.0,1.0
177,2,4.0,3.2,2.8000002
178,2,1.0,0.8,8.2
179,2,4.0,3.2,2.8000002
180,2,4.0,3.2,2.8000002
181,2,4.0,3.2,2.8000002
182,0.5,5.0,4.0,1.0
183,2,1.0,0.8,8.2
184,2,2.0,1.6,6.4
185,2,4.0,3.2,2.8000002
186,0.5,5.0,4.0,1.0
187,2,4.0,3.2,2.8000002
188,2,1.0,0.8,8.2
189,2,4.0,3.2,2.8000002
190,2,4.0,3.2,2.8000002
191,2,4.0,3.2,2.8000002
192,0.5,5.0,4.0,1.0
193,2,1.0,0.8,8.2
194,2,2.0,1.6,6.4
195,2,4.0,3.2,2.8000002
196,0.5,5.0,4.0,1.0
197,2,4.0,3.2,2.8000002
198,2,1.0,0.8,8.2
199,2,4.0,3.2,2.8000002
