episode,reward,icu_util,ot_util,waiting_time,patients_served
0,5.0,3,0,0.44999999999999996,27
1,0.0,0,0,0.0,25
2,5.0,3,0,0.44999999999999996,22
3,5.0,0,4,0.6,24
4,0.0,0,0,0.0,15
5,0.0,0,0,0.0,29
6,0.0,0,0,0.0,17
7,0.0,0,0,0.0,9
8,0.0,0,0,0.0,15
9,5.0,1,0,0.15,10
10,0.0,0,0,0.0,23
11,10.0,2,3,0.75,22
12,0.0,0,0,0.0,17
13,0.0,0,0,0.0,5
14,0.0,0,1,0.15,22
15,0.0,0,1,0.15,20
16,0.0,3,0,0.44999999999999996,23
17,5.0,0,1,0.15,17
18,0.0,0,0,0.0,20
19,0.0,0,3,0.44999999999999996,10
20,5.0,1,0,0.15,15
21,0.0,2,0,0.3,27
22,0.0,0,0,0.0,8
23,0.0,0,0,0.0,13
24,0.0,0,0,0.0,12
25,5.0,3,0,0.44999999999999996,24
26,0.0,0,0,0.0,15
27,0.0,0,0,0.0,16
28,0.0,0,0,0.0,15
29,5.0,2,0,0.3,21
30,5.0,2,3,0.75,25
31,5.0,0,4,0.6,29
32,0.0,1,0,0.15,14
33,5.0,0,1,0.15,26
34,0.0,0,0,0.0,18
35,0.0,0,0,0.0,19
36,0.0,0,0,0.0,18
37,0.0,3,0,0.44999999999999996,21
38,0.0,1,0,0.15,12
39,0.0,0,0,0.0,13
40,0.0,0,0,0.0,18
41,5.0,3,0,0.44999999999999996,10
42,5.0,2,0,0.3,22
43,0.0,0,0,0.0,16
44,5.0,2,0,0.3,13
45,0.0,0,0,0.0,6
46,0.0,3,0,0.44999999999999996,31
47,0.0,0,0,0.0,14
48,0.0,0,0,0.0,15
49,0.0,0,0,0.0,16
50,5.0,2,2,0.6,17
51,5.0,3,0,0.44999999999999996,21
52,0.0,0,0,0.0,19
53,10.0,3,4,1.05,27
54,0.0,0,0,0.0,19
55,0.0,0,0,0.0,25
56,0.0,0,0,0.0,22
57,0.0,0,0,0.0,19
58,0.0,0,0,0.0,18
59,5.0,0,2,0.3,15
60,0.0,0,0,0.0,16
61,0.0,0,0,0.0,14
62,5.0,0,1,0.15,14
63,-25.0,0,4,0.6,22
64,0.0,0,0,0.0,22
65,0.0,0,0,0.0,11
66,-25.0,0,4,0.6,21
67,0.0,0,0,0.0,15
68,0.0,0,0,0.0,26
69,0.0,0,0,0.0,4
70,10.0,1,3,0.6,22
71,5.0,0,1,0.15,20
72,0.0,0,0,0.0,23
73,5.0,1,0,0.15,15
74,-25.0,4,0,0.6,23
75,5.0,0,4,0.6,20
76,0.0,0,0,0.0,20
77,5.0,2,2,0.6,23
78,5.0,1,1,0.3,17
79,5.0,0,2,0.3,26
80,0.0,0,0,0.0,13
81,0.0,0,0,0.0,25
82,5.0,1,1,0.3,10
83,5.0,1,3,0.6,26
84,0.0,0,0,0.0,15
85,5.0,0,3,0.44999999999999996,17
86,0.0,0,0,0.0,17
87,-25.0,4,0,0.6,21
88,5.0,0,4,0.6,13
89,0.0,0,0,0.0,18
90,0.0,0,0,0.0,13
91,5.0,3,0,0.44999999999999996,16
92,0.0,0,0,0.0,24
93,5.0,0,4,0.6,12
94,5.0,0,1,0.15,19
95,5.0,1,3,0.6,18
96,0.0,0,0,0.0,19
97,0.0,0,0,0.0,20
98,-25.0,0,4,0.6,27
99,0.0,0,0,0.0,28
100,5.0,0,3,0.44999999999999996,20
101,0.0,0,0,0.0,20
102,0.0,0,0,0.0,11
103,5.0,4,0,0.6,15
104,-25.0,0,4,0.6,23
105,0.0,0,0,0.0,8
106,0.0,1,0,0.15,7
107,10.0,2,2,0.6,17
108,0.0,0,2,0.3,32
109,0.0,0,0,0.0,21
110,0.0,0,0,0.0,17
111,0.0,0,2,0.3,18
112,0.0,0,0,0.0,14
113,5.0,1,0,0.15,25
114,-25.0,0,4,0.6,10
115,0.0,0,0,0.0,14
116,0.0,0,2,0.3,17
117,0.0,2,2,0.6,16
118,0.0,0,0,0.0,14
119,0.0,0,0,0.0,27
120,0.0,0,0,0.0,7
121,0.0,0,0,0.0,19
122,0.0,0,0,0.0,13
123,10.0,1,1,0.3,16
124,5.0,0,2,0.3,19
125,0.0,0,0,0.0,29
126,10.0,4,3,1.05,23
127,-25.0,4,0,0.6,23
128,5.0,0,3,0.44999999999999996,11
129,5.0,2,0,0.3,16
130,-25.0,0,4,0.6,24
131,0.0,0,0,0.0,17
132,5.0,0,1,0.15,22
133,0.0,0,0,0.0,11
134,-25.0,0,4,0.6,26
135,0.0,0,0,0.0,11
136,-25.0,0,4,0.6,17
137,0.0,0,0,0.0,23
138,0.0,0,0,0.0,18
139,-20.0,4,2,0.8999999999999999,17
140,0.0,0,1,0.15,24
141,0.0,0,1,0.15,23
142,-25.0,4,0,0.6,20
143,0.0,0,0,0.0,17
144,-25.0,4,0,0.6,21
145,0.0,1,0,0.15,24
146,0.0,0,0,0.0,11
147,10.0,1,1,0.3,20
148,5.0,0,3,0.44999999999999996,18
149,0.0,2,1,0.44999999999999996,24
150,0.0,0,0,0.0,18
151,0.0,0,0,0.0,21
152,0.0,0,0,0.0,18
153,0.0,0,0,0.0,15
154,0.0,0,2,0.3,18
155,0.0,0,0,0.0,10
156,0.0,3,0,0.44999999999999996,20
157,5.0,4,0,0.6,14
158,0.0,0,0,0.0,19
159,0.0,0,0,0.0,15
160,5.0,3,0,0.44999999999999996,19
161,5.0,0,1,0.15,27
162,0.0,0,0,0.0,11
163,5.0,0,1,0.15,21
164,0.0,0,3,0.44999999999999996,15
165,5.0,2,1,0.44999999999999996,20
166,0.0,0,0,0.0,17
167,5.0,1,0,0.15,25
168,0.0,0,0,0.0,20
169,5.0,0,2,0.3,12
170,5.0,4,0,0.6,20
171,0.0,0,0,0.0,17
172,0.0,0,0,0.0,19
173,0.0,0,0,0.0,16
174,0.0,0,0,0.0,19
175,0.0,0,0,0.0,17
176,0.0,0,0,0.0,21
177,0.0,0,0,0.0,12
178,-25.0,0,4,0.6,14
179,-25.0,4,3,1.05,25
180,5.0,0,2,0.3,20
181,0.0,0,0,0.0,25
182,0.0,0,0,0.0,25
183,0.0,0,0,0.0,5
184,-20.0,4,4,1.2,19
185,-25.0,4,0,0.6,25
186,0.0,0,0,0.0,23
187,5.0,1,0,0.15,20
188,0.0,0,0,0.0,23
189,0.0,0,0,0.0,20
190,10.0,3,1,0.6,12
191,0.0,1,0,0.15,29
192,0.0,0,0,0.0,23
193,0.0,0,0,0.0,16
194,5.0,0,3,0.44999999999999996,16
195,0.0,0,0,0.0,26
196,0.0,1,0,0.15,22
197,0.0,0,0,0.0,12
198,0.0,0,2,0.3,20
199,0.0,0,0,0.0,18
200,0.0,0,0,0.0,14
201,0.0,0,0,0.0,13
202,0.0,0,0,0.0,22
203,5.0,0,2,0.3,18
204,5.0,1,0,0.15,17
205,0.0,0,0,0.0,23
206,0.0,0,3,0.44999999999999996,21
207,0.0,0,0,0.0,16
208,5.0,0,2,0.3,10
209,0.0,0,0,0.0,13
210,0.0,0,0,0.0,26
211,-25.0,4,0,0.6,14
212,5.0,0,1,0.15,13
213,5.0,1,0,0.15,12
214,10.0,3,1,0.6,10
215,5.0,1,0,0.15,19
216,10.0,2,2,0.6,21
217,0.0,1,1,0.3,22
218,-25.0,4,0,0.6,22
219,0.0,0,0,0.0,22
220,5.0,0,2,0.3,25
221,5.0,2,0,0.3,17
222,0.0,0,0,0.0,13
223,0.0,0,0,0.0,10
224,5.0,3,0,0.44999999999999996,21
225,5.0,0,1,0.15,21
226,5.0,3,0,0.44999999999999996,20
227,5.0,3,0,0.44999999999999996,20
228,0.0,0,0,0.0,19
229,0.0,0,2,0.3,4
230,0.0,0,0,0.0,20
231,-25.0,3,4,1.05,23
232,-25.0,0,4,0.6,12
233,5.0,0,3,0.44999999999999996,17
234,5.0,0,4,0.6,22
235,5.0,4,0,0.6,21
236,0.0,0,1,0.15,23
237,5.0,1,3,0.6,19
238,0.0,0,0,0.0,16
239,0.0,0,0,0.0,14
240,0.0,0,0,0.0,17
241,5.0,4,0,0.6,16
242,5.0,3,2,0.75,27
243,0.0,0,0,0.0,15
244,-25.0,0,4,0.6,15
245,5.0,2,0,0.3,23
246,0.0,0,0,0.0,17
247,0.0,0,0,0.0,22
248,0.0,0,0,0.0,9
249,0.0,0,0,0.0,21
250,0.0,0,0,0.0,23
251,0.0,0,0,0.0,21
252,0.0,3,0,0.44999999999999996,20
253,0.0,0,0,0.0,16
254,0.0,0,0,0.0,18
255,0.0,0,3,0.44999999999999996,22
256,5.0,1,0,0.15,26
257,0.0,0,0,0.0,28
258,0.0,0,0,0.0,16
259,0.0,2,0,0.3,31
260,-25.0,0,4,0.6,28
261,5.0,3,0,0.44999999999999996,22
262,0.0,0,0,0.0,21
263,0.0,0,0,0.0,14
264,0.0,0,2,0.3,17
265,0.0,0,0,0.0,21
266,0.0,0,0,0.0,10
267,5.0,2,1,0.44999999999999996,19
268,0.0,0,0,0.0,25
269,10.0,1,2,0.44999999999999996,12
270,0.0,0,0,0.0,18
271,0.0,0,2,0.3,15
272,0.0,0,0,0.0,20
273,0.0,0,0,0.0,10
274,5.0,2,0,0.3,14
275,0.0,0,0,0.0,15
276,0.0,0,2,0.3,24
277,5.0,0,1,0.15,16
278,0.0,3,0,0.44999999999999996,24
279,5.0,4,0,0.6,18
280,0.0,0,0,0.0,13
281,5.0,3,0,0.44999999999999996,23
282,-25.0,0,4,0.6,21
283,5.0,4,0,0.6,21
284,5.0,1,0,0.15,15
285,10.0,3,1,0.6,21
286,0.0,0,0,0.0,31
287,0.0,0,3,0.44999999999999996,15
288,5.0,3,4,1.05,19
289,0.0,0,0,0.0,14
290,0.0,0,0,0.0,11
291,5.0,4,0,0.6,14
292,-25.0,0,4,0.6,17
293,-25.0,4,1,0.75,30
294,0.0,0,0,0.0,19
295,0.0,0,0,0.0,24
296,0.0,0,0,0.0,19
297,0.0,0,0,0.0,18
298,0.0,0,0,0.0,21
299,0.0,3,0,0.44999999999999996,25
300,0.0,0,0,0.0,7
301,0.0,0,0,0.0,11
302,0.0,1,0,0.15,10
303,0.0,0,0,0.0,13
304,5.0,3,0,0.44999999999999996,22
305,0.0,0,0,0.0,26
306,5.0,4,0,0.6,16
307,0.0,1,0,0.15,16
308,0.0,0,0,0.0,17
309,0.0,0,0,0.0,20
310,5.0,1,0,0.15,11
311,0.0,0,0,0.0,16
312,0.0,0,0,0.0,23
313,5.0,2,0,0.3,26
314,5.0,2,1,0.44999999999999996,22
315,0.0,0,0,0.0,15
316,0.0,0,0,0.0,19
317,0.0,0,0,0.0,10
318,5.0,1,0,0.15,22
319,0.0,0,0,0.0,12
320,0.0,0,0,0.0,11
321,0.0,0,0,0.0,17
322,10.0,3,2,0.75,13
323,-25.0,4,0,0.6,29
324,0.0,0,0,0.0,11
325,0.0,0,1,0.15,25
326,0.0,0,0,0.0,25
327,-20.0,1,4,0.75,23
328,5.0,1,0,0.15,19
329,5.0,0,2,0.3,21
330,0.0,0,0,0.0,20
331,5.0,3,1,0.6,28
332,0.0,0,1,0.15,31
333,0.0,0,0,0.0,10
334,0.0,0,1,0.15,17
335,0.0,0,0,0.0,18
336,0.0,0,2,0.3,21
337,0.0,0,0,0.0,26
338,0.0,0,0,0.0,9
339,0.0,0,0,0.0,16
340,0.0,0,0,0.0,19
341,0.0,1,0,0.15,22
342,5.0,4,0,0.6,21
343,10.0,1,2,0.44999999999999996,26
344,0.0,0,1,0.15,21
345,-25.0,4,0,0.6,20
346,5.0,4,0,0.6,19
347,-20.0,2,4,0.8999999999999999,30
348,0.0,0,0,0.0,19
349,0.0,3,0,0.44999999999999996,20
350,0.0,0,0,0.0,11
351,0.0,0,0,0.0,12
352,5.0,0,1,0.15,28
353,0.0,0,0,0.0,7
354,5.0,2,2,0.6,24
355,0.0,0,0,0.0,18
356,0.0,0,0,0.0,12
357,0.0,0,0,0.0,25
358,5.0,0,4,0.6,11
359,0.0,3,0,0.44999999999999996,22
360,5.0,1,0,0.15,17
361,0.0,0,0,0.0,16
362,0.0,0,0,0.0,15
363,0.0,2,0,0.3,19
364,10.0,2,2,0.6,21
365,0.0,0,0,0.0,26
366,5.0,3,0,0.44999999999999996,19
367,0.0,0,0,0.0,19
368,0.0,0,0,0.0,23
369,0.0,0,0,0.0,15
370,10.0,1,3,0.6,17
371,5.0,1,0,0.15,26
372,5.0,3,0,0.44999999999999996,14
373,0.0,0,0,0.0,29
374,0.0,0,0,0.0,17
375,0.0,0,0,0.0,21
376,0.0,0,0,0.0,20
377,5.0,4,0,0.6,22
378,0.0,0,0,0.0,13
379,0.0,0,0,0.0,11
380,5.0,3,0,0.44999999999999996,19
381,0.0,0,0,0.0,11
382,0.0,0,0,0.0,20
383,0.0,0,0,0.0,26
384,0.0,0,0,0.0,8
385,5.0,2,0,0.3,13
386,0.0,0,1,0.15,26
387,5.0,3,2,0.75,21
388,0.0,2,0,0.3,16
389,5.0,0,3,0.44999999999999996,17
390,0.0,0,0,0.0,16
391,5.0,0,1,0.15,15
392,0.0,0,0,0.0,20
393,0.0,0,0,0.0,25
394,0.0,0,0,0.0,10
395,0.0,0,0,0.0,16
396,0.0,1,0,0.15,16
397,0.0,0,0,0.0,17
398,0.0,0,0,0.0,12
399,0.0,0,0,0.0,21
